name,definition,category,slug
Compulsory Voting,Legal requirement for eligible citizens to vote.,Political Systems & Governance,compulsory-voting
Confidence and Supply,An agreement where a party supports the government in exchange for policy concessions.,Political Systems & Governance,confidence-and-supply
Consensus Democracy,A system aiming for broad agreement among diverse groups.,Political Systems & Governance,consensus-democracy
Conservatism,A political philosophy promoting traditional values and institutions.,Political Systems & Governance,conservatism
Constituency,A body of voters in a specified area who elect a representative.,Political Systems & Governance,constituency
Constituent Assembly,A body elected to draft or adopt a new constitution.,Political Systems & Governance,constituent-assembly
Constitution,A foundational legal document outlining a government’s structure and principles.,Political Systems & Governance,constitution
Constitutional Amendment,A formal change made to a constitution.,Political Systems & Governance,constitutional-amendment
Constitutional Checks,Mechanisms to limit government power through law.,Political Systems & Governance,constitutional-checks
Constitutional Convention,A gathering to draft or revise a nation's constitution.,Political Systems & Governance,constitutional-convention
Constitutional Crisis,A situation where constitutional provisions are unable to resolve political disputes.,Political Systems & Governance,constitutional-crisis
Constitutional Law,Law that defines the structure and function of government institutions.,Political Systems & Governance,constitutional-law
Constitutional Monarchy,A monarchy limited by laws or a constitution.,Political Systems & Governance,constitutional-monarchy
Constitutional Monarchy with Parliament,A monarchy with legislative powers held by an elected body.,Political Systems & Governance,constitutional-monarchy-with-parliament
Constitutional Reform,Changes made to a constitution to update or improve governance.,Political Systems & Governance,constitutional-reform
Constitutional Safeguards,Legal protections enshrined in a constitution to uphold rights and prevent abuse.,Political Systems & Governance,constitutional-safeguards
Constitutional Tribunal,A high court that reviews laws for constitutional compliance.,Political Systems & Governance,constitutional-tribunal
Coup d'état,"A sudden, violent overthrow of an existing government.",Political Systems & Governance,coup-d-tat
Cross-Voting,When a legislator votes against their party’s official position.,Political Systems & Governance,cross-voting
Crossbenchers,Legislators not aligned with the government or opposition.,Political Systems & Governance,crossbenchers
Cyber Democracy,Digital platforms enabling political participation.,Political Systems & Governance,cyber-democracy
Dark Money,Political spending by undisclosed donors or sources.,Political Systems & Governance,dark-money
De Facto Government,A government that exercises power regardless of legal legitimacy.,Political Systems & Governance,de-facto-government
De Jure Government,A government that is legally recognized regardless of actual control.,Political Systems & Governance,de-jure-government
Decentralization,The distribution of power from central to local governments.,Political Systems & Governance,decentralization
Decree,An official order issued by a legal authority.,Political Systems & Governance,decree
Deliberative Assembly,A body that debates and decides collective policies.,Political Systems & Governance,deliberative-assembly
Deliberative Democracy,A system focused on reasoned debate before decisions are made.,Political Systems & Governance,deliberative-democracy
Delimitation,Redrawing boundaries of electoral constituencies.,Political Systems & Governance,delimitation
Democracy,"A system of government by the whole population, usually through elected representatives.",Political Systems & Governance,democracy
Democratic Centralism,A Leninist principle combining central leadership with internal democracy.,Political Systems & Governance,democratic-centralism
Devolution,The transfer of powers from a central government to regional or local governments.,Political Systems & Governance,devolution
Digital Ballot,A secure online method for casting votes.,Political Systems & Governance,digital-ballot
Digital Governance,Use of technology in delivering government services.,Political Systems & Governance,digital-governance
Direct Democracy,A system where citizens vote directly on laws.,Political Systems & Governance,direct-democracy
Dual Mandate,When a politician holds two elected positions simultaneously.,Political Systems & Governance,dual-mandate
Election Day,The official day on which elections are held.,Political Systems & Governance,election-day
Electioneering,The act of campaigning in an election.,Political Systems & Governance,electioneering
Electoral College,A body of representatives that formally elects the president.,Political Systems & Governance,electoral-college
Electoral College Reform,Proposals to change the method of electing the president.,Political Systems & Governance,electoral-college-reform
Electoral College Vote,The formal vote that elects the president in certain systems.,Political Systems & Governance,electoral-college-vote
Electoral Commission,A body overseeing the conduct of elections.,Political Systems & Governance,electoral-commission
Electoral Commission Independence,The impartiality of the body overseeing elections.,Political Systems & Governance,electoral-commission-independence
Electoral Dispute,A disagreement arising from the conduct or results of an election.,Political Systems & Governance,electoral-dispute
Electoral District,A geographical area represented by an elected official.,Political Systems & Governance,electoral-district
Electoral Fraud,Illegal interference with the process of an election.,Political Systems & Governance,electoral-fraud
Electoral Integrity,The extent to which elections are free and fair.,Political Systems & Governance,electoral-integrity
Electoral Observation,Monitoring elections to ensure transparency and fairness.,Political Systems & Governance,electoral-observation
Electoral Quota,A rule that sets minimum representation for a group in elected bodies.,Political Systems & Governance,electoral-quota
Electoral Reform,Changes aimed at improving the electoral process.,Political Systems & Governance,electoral-reform
Electoral System,The method by which votes are counted and representatives are selected.,Political Systems & Governance,electoral-system
Electoral Threshold,The minimum share of votes required to win representation.,Political Systems & Governance,electoral-threshold
Electoral Violence,Acts of violence aimed at influencing electoral processes.,Political Systems & Governance,electoral-violence
Ethics Committee,A body that investigates ethical violations in government.,Political Systems & Governance,ethics-committee
Executive Branch,The part of government responsible for implementing laws and managing operations.,Political Systems & Governance,executive-branch
Factionalism,Internal divisions within a political party or movement.,Political Systems & Governance,factionalism
Federal Budget,The government’s plan for revenue and spending for a fiscal year.,Political Systems & Governance,federal-budget
Federalism,A system where power is divided between a central and regional governments.,Political Systems & Governance,federalism
Feudalism,A medieval system based on land ownership and obligations.,Political Systems & Governance,feudalism
Filibuster,A tactic for delaying legislative action by prolonged speech.,Political Systems & Governance,filibuster
First-Past-the-Post,An electoral system where the candidate with the most votes wins.,Political Systems & Governance,first-past-the-post
Foreign Interference,External influence intended to affect domestic political outcomes.,Political Systems & Governance,foreign-interference
Gag Rule,A regulation preventing open discussion on certain topics in legislative bodies.,Political Systems & Governance,gag-rule
Gerrymandering,Manipulating electoral district boundaries to favor a political party.,Political Systems & Governance,gerrymandering
Governance Index,A measure used to evaluate the effectiveness of governance.,Political Systems & Governance,governance-index
Governing Coalition,An alliance of parties forming a majority to govern.,Political Systems & Governance,governing-coalition
Government Accountability,The obligation of officials to be answerable for their actions.,Political Systems & Governance,government-accountability
Government Accountability Office,An agency that monitors the spending of public funds and government performance.,Political Systems & Governance,government-accountability-office
Government Shutdown,A closure of non-essential government services due to lack of funding.,Political Systems & Governance,government-shutdown
Grand Coalition,A broad alliance between major political parties.,Political Systems & Governance,grand-coalition
Grassroots Movement,A political movement driven by the constituents of a community.,Political Systems & Governance,grassroots-movement
Green Politics,A movement focusing on environmental issues and social justice.,Political Systems & Governance,green-politics
Gubernatorial Power,Authority exercised by a governor.,Political Systems & Governance,gubernatorial-power
Habeas Corpus,A legal principle that protects individuals from unlawful detention.,Political Systems & Governance,habeas-corpus
Home Rule,Limited self-government granted to a dependent political unit.,Political Systems & Governance,home-rule
Hybrid Regime,A government combining democratic and authoritarian elements.,Political Systems & Governance,hybrid-regime
Illiberal Democracy,A regime with elections but lacking civil liberties.,Political Systems & Governance,illiberal-democracy
Impeachment,The process of charging a public official with misconduct.,Political Systems & Governance,impeachment
Imperialism,A policy of extending a country’s power through colonization or conquest.,Political Systems & Governance,imperialism
Incumbency,The holding of an office or the period during which one is held.,Political Systems & Governance,incumbency
Incumbency Advantage,The benefit enjoyed by existing office holders during elections.,Political Systems & Governance,incumbency-advantage
Incumbent,A person currently holding a political office.,Political Systems & Governance,incumbent
Initiative,A process allowing citizens to propose laws or amendments for a public vote.,Political Systems & Governance,initiative
Interim Government,A temporary government established during political transition.,Political Systems & Governance,interim-government
Interpellation,A formal request by a legislator for explanation from a government minister.,Political Systems & Governance,interpellation
Judicial Activism,When judges are perceived to create law through rulings.,Political Systems & Governance,judicial-activism
Judicial Appointment,The process of selecting judges for courts.,Political Systems & Governance,judicial-appointment
Judicial Independence,The principle that the judiciary should be free from external influence.,Political Systems & Governance,judicial-independence
Judicial Inquiry,A legal investigation ordered to examine public concerns.,Political Systems & Governance,judicial-inquiry
Judicial Review,The power of courts to invalidate laws conflicting with a constitution.,Political Systems & Governance,judicial-review
Judiciary,The branch of government responsible for interpreting laws and administering justice.,Political Systems & Governance,judiciary
Left-wing Politics,Political positions that advocate social equality and government intervention.,Political Systems & Governance,left-wing-politics
Legal Tender Law,A statute defining official currency that must be accepted for debts.,Political Systems & Governance,legal-tender-law
Legalism,A philosophy advocating strict adherence to law as the basis of governance.,Political Systems & Governance,legalism
Legislative Calendar,The schedule outlining dates for parliamentary sessions.,Political Systems & Governance,legislative-calendar
Legislative Deadlock,Failure of legislative bodies to agree on proposed laws.,Political Systems & Governance,legislative-deadlock
Legislative Docket,A list of legislative proposals scheduled for consideration.,Political Systems & Governance,legislative-docket
Legislative Oversight,Legislature’s monitoring of executive branch activities.,Political Systems & Governance,legislative-oversight
Legislature,The branch of government that creates laws.,Political Systems & Governance,legislature
Legitimacy,"The recognized right to rule, often derived from law, tradition, or consent.",Political Systems & Governance,legitimacy
Liberal Democracy,A representative democracy with protections for individual freedoms.,Political Systems & Governance,liberal-democracy
Libertarianism,An ideology emphasizing individual freedom and limited government.,Political Systems & Governance,libertarianism
Lobbying,Attempting to influence government decisions by advocacy groups.,Political Systems & Governance,lobbying
Majoritarianism,The majority’s preference takes precedence in governance.,Political Systems & Governance,majoritarianism
Majority Rule,A principle where the decision of more than half prevails.,Political Systems & Governance,majority-rule
Mandate,"An official order or commission to do something, especially in governance.",Political Systems & Governance,mandate
Mandate Theory,The belief that election winners have authorization to implement policies.,Political Systems & Governance,mandate-theory
Martial Law,Temporary rule by military authorities during emergencies or unrest.,Political Systems & Governance,martial-law
Media Bias,The perception or reality of favoritism in news coverage.,Political Systems & Governance,media-bias
Media Regulation,Laws governing the behavior of news and broadcasting outlets.,Political Systems & Governance,media-regulation
Military Junta,A government led by military officers.,Political Systems & Governance,military-junta
Ministerial Ethics,Standards of conduct expected of government ministers.,Political Systems & Governance,ministerial-ethics
Ministerial Responsibility,The accountability of ministers to the legislature for their actions.,Political Systems & Governance,ministerial-responsibility
Ministerial System,A structure where government departments are led by individual ministers.,Political Systems & Governance,ministerial-system
Minority Government,A government where the ruling party holds fewer seats than the opposition.,Political Systems & Governance,minority-government
Minority Rights,Legal protections for groups not in the majority.,Political Systems & Governance,minority-rights
Mixed-Member Proportional System,A system combining direct and proportional representation.,Political Systems & Governance,mixed-member-proportional-system
Monarchy,"A government ruled by a king or queen, often hereditary.",Political Systems & Governance,monarchy
Motion of Censure,A formal statement of disapproval toward a government or official.,Political Systems & Governance,motion-of-censure
Multi-party System,A system with multiple political parties competing for power.,Political Systems & Governance,multi-party-system
Nation-State,A sovereign state whose citizens share common cultural or national identity.,Political Systems & Governance,nation-state
National Unity Government,A coalition of all major political parties during crisis.,Political Systems & Governance,national-unity-government
Nationalism,Loyalty and devotion to one's nation.,Political Systems & Governance,nationalism
Neo-Colonialism,Indirect control through economic or political pressure.,Political Systems & Governance,neo-colonialism
No-Confidence Motion,A formal statement that the legislature no longer supports the executive.,Political Systems & Governance,no-confidence-motion
Non-Governmental Organization,An independent group that addresses social or political issues.,Political Systems & Governance,non-governmental-organization
Nonpartisan Politics,Political engagement free from party affiliations.,Political Systems & Governance,nonpartisan-politics
Oligarchy,"A government controlled by a small, powerful group.",Political Systems & Governance,oligarchy
Ombudsman,An independent official who investigates complaints against the government.,Political Systems & Governance,ombudsman
One-man Rule,A government dominated by a single individual.,Political Systems & Governance,one-man-rule
Open List Proportional Representation,An electoral system allowing voters to influence candidate order.,Political Systems & Governance,open-list-proportional-representation
Opposition,Political parties or groups that challenge the policies of those in power.,Political Systems & Governance,opposition
Ordinance,A local law enacted by a municipal government.,Political Systems & Governance,ordinance
Parliament,A legislative body responsible for making laws and overseeing the government.,Political Systems & Governance,parliament
Parliamentary System,A democratic form where the executive derives authority from the legislature.,Political Systems & Governance,parliamentary-system
Participatory Democracy,A model emphasizing broad participation in political decision-making.,Political Systems & Governance,participatory-democracy
Party Platform,A set of principles and policies endorsed by a political party.,Political Systems & Governance,party-platform
Patronage,The power to give government jobs to supporters and allies.,Political Systems & Governance,patronage
Petition,A formal written request to an authority for action or redress.,Political Systems & Governance,petition
Plebiscite,A direct vote by the electorate on an important public question.,Political Systems & Governance,plebiscite
Plural Executive,A system where multiple officials share executive authority.,Political Systems & Governance,plural-executive
Plural Voting,A voting system where individuals may cast more than one vote.,Political Systems & Governance,plural-voting
Pluralism,A political system recognizing diverse interests and groups.,Political Systems & Governance,pluralism
Plurality Voting,An electoral system where the candidate with the most votes wins.,Political Systems & Governance,plurality-voting
Plutocracy,A society ruled or controlled by the wealthy.,Political Systems & Governance,plutocracy
Policy Window,A moment when conditions allow for significant policy change.,Political Systems & Governance,policy-window
Political Advertising,Media used to promote political candidates or policies.,Political Systems & Governance,political-advertising
Political Amnesty,"A pardon for political offenses, usually by the government.",Political Systems & Governance,political-amnesty
Political Apathy,Lack of interest or concern in political activities.,Political Systems & Governance,political-apathy
Political Assassination,The targeted killing of a political figure.,Political Systems & Governance,political-assassination
Political Capital,"The trust, goodwill, and influence a politician has to push policies.",Political Systems & Governance,political-capital
Political Debates,Public discussions between candidates outlining their positions.,Political Systems & Governance,political-debates
Political Dynasty,A family that maintains political power across generations.,Political Systems & Governance,political-dynasty
Political Efficacy,Belief that one’s political participation makes a difference.,Political Systems & Governance,political-efficacy
Political Endorsement,A public declaration of support for a candidate or policy.,Political Systems & Governance,political-endorsement
Political Equality,The principle that all citizens have equal political rights and influence.,Political Systems & Governance,political-equality
Political Feasibility,Assessment of whether a policy is likely to gain support.,Political Systems & Governance,political-feasibility
Political Gridlock,A situation where differing parties prevent progress in governance.,Political Systems & Governance,political-gridlock
Political Ideology,A set of beliefs about the best political system or policy approach.,Political Systems & Governance,political-ideology
Political Immunity,Legal protection for politicians against prosecution during office.,Political Systems & Governance,political-immunity
Political Legitimacy,The rightful authority of a government as accepted by the people.,Political Systems & Governance,political-legitimacy
Political Moderation,Avoidance of extreme views and advocacy for balanced solutions.,Political Systems & Governance,political-moderation
Political Neutrality,The principle of not favoring any political party or position.,Political Systems & Governance,political-neutrality
Political Party,An organized group seeking to gain power through elections.,Political Systems & Governance,political-party
Political Patronage,The practice of rewarding supporters with government positions.,Political Systems & Governance,political-patronage
Political Polarization,Sharp division of political attitudes to ideological extremes.,Political Systems & Governance,political-polarization
Political Realignment,A major shift in the political system or party dominance.,Political Systems & Governance,political-realignment
Political Realism,A theory focusing on power and national interest in politics.,Political Systems & Governance,political-realism
Political Satire,Humor used to criticize politics or politicians.,Political Systems & Governance,political-satire
Political Science,"The academic discipline studying governments, policies, and political behavior.",Political Systems & Governance,political-science
Political Socialization,The process by which individuals acquire political beliefs and values.,Political Systems & Governance,political-socialization
Political Spectrum,A system for classifying different political positions across ideologies.,Political Systems & Governance,political-spectrum
Political Succession,The process of transferring leadership in a political system.,Political Systems & Governance,political-succession
Populism,Political ideas aiming to represent the common people.,Political Systems & Governance,populism
Pork Barrel Politics,Government spending for localized projects to gain political support.,Political Systems & Governance,pork-barrel-politics
Power Centralization,The concentration of political authority in a central government.,Political Systems & Governance,power-centralization
Power Sharing,A political arrangement in which different groups share authority.,Political Systems & Governance,power-sharing
Power Vacuum,A condition where there is no clear authority or leadership.,Political Systems & Governance,power-vacuum
Presidential System,A government led by a president who is separate from the legislature.,Political Systems & Governance,presidential-system
Presidential Veto,The president’s power to reject legislation.,Political Systems & Governance,presidential-veto
Progressivism,A philosophy advocating social reform and advancement.,Political Systems & Governance,progressivism
Proportional Representation,An electoral system where seats are allocated based on vote share.,Political Systems & Governance,proportional-representation
Protest Vote,A vote cast to express dissatisfaction rather than support.,Political Systems & Governance,protest-vote
Proxy Voting,Voting on behalf of another authorized individual.,Political Systems & Governance,proxy-voting
Public Administration,The implementation of government policy by civil servants.,Political Systems & Governance,public-administration
Public Expenditure,Spending by government to meet public needs.,Political Systems & Governance,public-expenditure
Public Opinion Polls,Surveys measuring citizens’ views on political topics.,Political Systems & Governance,public-opinion-polls
Public Policy,The principles guiding government action and decisions.,Political Systems & Governance,public-policy
Public Referendum,A direct vote on a specific political question posed to citizens.,Political Systems & Governance,public-referendum
Public Trust,The confidence citizens have in their government and leaders.,Political Systems & Governance,public-trust
Quorum,The minimum number of members required to conduct official business.,Political Systems & Governance,quorum
Recall Election,A process by which voters can remove an elected official from office.,Political Systems & Governance,recall-election
Recall Mechanism,A legal process for removing elected officials before term ends.,Political Systems & Governance,recall-mechanism
Recall Vote,A direct vote to remove an elected official before the end of term.,Political Systems & Governance,recall-vote
Red Tape,Excessive bureaucracy or adherence to official rules.,Political Systems & Governance,red-tape
Redistricting,"Redrawing electoral district boundaries, often after a census.",Political Systems & Governance,redistricting
Referendum,A direct vote by the electorate on a specific proposal or issue.,Political Systems & Governance,referendum
Representative Democracy,A form of democracy where citizens elect officials to make decisions on their behalf.,Political Systems & Governance,representative-democracy
Republic,A political system where power rests with elected representatives.,Political Systems & Governance,republic
Right-wing Politics,"Political positions that emphasize tradition, hierarchy, and limited government.",Political Systems & Governance,right-wing-politics
Rotating Presidency,An arrangement where the presidency is shared or alternated among members.,Political Systems & Governance,rotating-presidency
Rule of Law,The principle that all members of society are equally subject to the law.,Political Systems & Governance,rule-of-law
Runoff Election,A second election to determine a winner among the top candidates.,Political Systems & Governance,runoff-election
Safe Seat,An electoral district consistently won by the same party or candidate.,Political Systems & Governance,safe-seat
Secret Ballot,Voting method ensuring anonymity.,Political Systems & Governance,secret-ballot
Separation of Powers,Division of government responsibilities into distinct branches.,Political Systems & Governance,separation-of-powers
Shadow Cabinet,A group of opposition members who scrutinize and propose alternatives to current policies.,Political Systems & Governance,shadow-cabinet
Shadow Government,A group of opposition leaders prepared to take office if elected.,Political Systems & Governance,shadow-government
Shadow Vote,"A symbolic vote used for planning or signaling, without legal effect.",Political Systems & Governance,shadow-vote
Single-party State,A system where only one political party is allowed to govern.,Political Systems & Governance,single-party-state
Socialism,A political theory advocating state or collective ownership of production.,Political Systems & Governance,socialism
Sovereign Immunity,Legal doctrine shielding governments from certain legal actions.,Political Systems & Governance,sovereign-immunity
Spoiler Effect,When a third-party candidate alters the outcome by splitting votes.,Political Systems & Governance,spoiler-effect
State Audit,Review of government financial activities to ensure legal compliance.,Political Systems & Governance,state-audit
State Capture,Corruption where private interests dominate public policy.,Political Systems & Governance,state-capture
State Legislature,A legislative body governing a political subdivision of a country.,Political Systems & Governance,state-legislature
State of Emergency,A condition allowing the government to take extraordinary actions.,Political Systems & Governance,state-of-emergency
State Sovereignty,The principle that states have the right to govern themselves independently.,Political Systems & Governance,state-sovereignty
Statecraft,"The skillful management of state affairs and governance, including diplomacy, strategy, and administration.",Political Systems & Governance,statecraft
Statism,The belief in extensive government control of economic and social policy.,Political Systems & Governance,statism
Statutory Law,Laws formally written and enacted by legislative bodies.,Political Systems & Governance,statutory-law
Succession Plan,A strategy for replacing leaders or transferring power.,Political Systems & Governance,succession-plan
Suffrage,The right to vote in political elections.,Political Systems & Governance,suffrage
Super PAC,An independent political action committee that can raise unlimited funds.,Political Systems & Governance,super-pac
Swing State,A state where political support is evenly divided and unpredictable.,Political Systems & Governance,swing-state
Syndicalism,A movement advocating worker control of industry through trade unions.,Political Systems & Governance,syndicalism
Technocracy,Government by technical experts.,Political Systems & Governance,technocracy
Term Limit,A legal restriction on the number of terms an elected official can serve.,Political Systems & Governance,term-limit
Theocracy,A government system ruled by religious leaders or divine guidance.,Political Systems & Governance,theocracy
Theocratic Republic,A republic governed under religious principles and leaders.,Political Systems & Governance,theocratic-republic
Totalitarianism,A centralized government that seeks to control all aspects of life.,Political Systems & Governance,totalitarianism
Town Hall Meeting,An event where officials meet with constituents to discuss issues.,Political Systems & Governance,town-hall-meeting
Transitional Government,An interim regime managing state affairs before permanent governance.,Political Systems & Governance,transitional-government
