source_slug,relationship,target_slug
campaign-finance,RELATED_TO,super-pac
campaign-strategy,GUIDED_BY,polling-data
campaign-strategy,INFLUENCES,campaign-trail
campaign-strategy,ADAPTED_TO,political-climate
campaign-trail,USED_IN,electioneering
campaign-trail,INFLUENCED_BY,media-coverage
campaign-trail,ASSOCIATED_WITH,public-debates
capitalism,RESPONDED_TO,mercantilism
capitalism,INFLUENCED,liberal-democracy
capitalism,CONTRASTED_BY,socialism
capitalism,OPPOSED_BY,communism
caretaker-government,FORMED_DURING,political-transition
caretaker-government,REPLACED_BY,elected-government
caretaker-government,RESTRICTED_BY,limited-mandate
caretaker-prime-minister,APPOINTED_IN,caretaker-government
caretaker-prime-minister,REPLACED_BY,elected-prime-minister
caretaker-prime-minister,OPERATES_UNDER,constitutional-constraints
caucus,STRUCTURED,party-decision-making
caucus,ENABLED_BY,representative-democracy
caucus,SUPPORTED,internal-political-strategy
centrism,POSITIONED_BETWEEN,left-wing-politics
centrism,POSITIONED_BETWEEN,right-wing-politics
centrism,ADVOCATED,moderation-in-governance
checks-and-balances,ENABLED,separation-of-powers
citizen-assembly,ENABLED,participatory-democracy
citizen-assembly,STRUCTURED,deliberative-democracy
citizen-assembly,REPRESENTED,public-consensus
citizen-assembly,RELATED_TO,political-system
civic-engagement,SUPPORTED_BY,civil-society
civic-engagement,ENABLED_BY,civic-virtue
civic-engagement,STRENGTHENED,democracy
civil-code,STRUCTURED_BY,legal-principles
civil-code,ENABLED_BY,codification-of-laws
civil-code,SUPPORTED,judicial-consistency
civil-disobedience,USED_IN,civil-resistance
civil-disobedience,OPPOSED,unjust-laws
civil-disobedience,SUPPORTED_BY,civil-liberties
civil-liberties,PROTECTED_BY,constitution
civil-liberties,CHALLENGED_BY,state-of-emergency
civil-liberties,FOUNDATION_FOR,democracy
civil-resistance,ENABLED_BY,civic-engagement
civil-resistance,OPPOSED,authoritarianism
civil-resistance,SUPPORTED_BY,nonviolent-movements
civil-society,INFLUENCED,democracy
civil-society,SUPPORTED,rule-of-law
civil-society,OPPOSED_BY,authoritarianism
clientelism,CONTRASTED_WITH,meritocracy
clientelism,UNDERMINED,rule-of-law
clientelism,INFLUENCED,patronage-politics
closed-list-system,STRUCTURED,electoral-system
closed-list-system,CONTRASTED_WITH,open-list-system
closed-list-system,USED_IN,proportional-representation
coalition-government,FORMED_BY,multi-party-system
coalition-government,REQUIRED_IN,parliamentary-system
coalition-government,CHALLENGED_BY,ideological-divergence
compulsory-voting,IMPLEMENTED_IN,universal-suffrage
compulsory-voting,INCREASED,voter-turnout
compulsory-voting,CRITICIZED_BY,libertarianism
confidence-and-supply,RELATED_TO,political-system
confidence-and-supply,ENABLED,minority-government
confidence-and-supply,USED_IN,parliamentary-system
confidence-and-supply,CHALLENGED_BY,vote-of-no-confidence
consensus-democracy,CONTRASTED_WITH,majoritarianism
consensus-democracy,ENABLED_BY,power-sharing
consensus-democracy,SUPPORTED_BY,pluralism
conservatism,OPPOSED_TO,radical-change
conservatism,INFLUENCED,right-wing-politics
conservatism,SUPPORTED_BY,traditional-institutions
constituency,RELATED_TO,political-system
constituent-assembly,FORMED_FOR,constitution-drafting
constituent-assembly,REPRESENTED_BY,delegates
constituent-assembly,RESPONDED_TO,political-transition
constitutional-amendment,CHANGED,constitution
constitutional-amendment,REQUIRES,legislative-approval
constitutional-amendment,ENABLED_BY,referendum
constitutional-checks,ENABLED_BY,rule-of-law
constitutional-checks,SUPPORTED,separation-of-powers
constitutional-checks,REINFORCED,checks-and-balances
constitutional-convention,ENABLED,constitutional-reform
constitutional-convention,STRUCTURED,constitution-drafting
constitutional-convention,RESPONDED_TO,political-crisis
constitutional-crisis,CHALLENGED,rule-of-law
constitutional-crisis,RESULTED_FROM,conflicting-authorities
constitutional-crisis,TRIGGERED,emergency-powers
constitutional-law,STRUCTURED,legal-frameworks
constitutional-law,ENABLED_BY,constitution
constitutional-law,GUIDED,judicial-review
constitutional-monarchy,BLENDED_WITH,parliamentary-system
constitutional-monarchy-with-parliament,EVOLVED_FROM,absolute-monarchy
constitutional-monarchy-with-parliament,COMBINED,royal-authority-and-elected-legislature
constitutional-monarchy-with-parliament,SUPPORTED,liberal-democracy
constitutional-safeguards,PROTECTED,democratic-principles
constitutional-safeguards,IMPLEMENTED_IN,rule-of-law
constitutional-safeguards,CHALLENGED_BY,executive-overreach
constitutional-tribunal,INTERPRETS,constitutional-law
constitutional-tribunal,UPHOLDS,constitutional-rights
constitutional-tribunal,OPERATES_UNDER,separation-of-powers
coup-d-tat,REPLACED,de-jure-government
coup-d-tat,ENABLED_BY,military-junta
coup-d-tat,OPPOSED_BY,constitutional-order
cross-voting,OCCURS_IN,multi-party-system
cross-voting,CHALLENGES,party-discipline
cross-voting,INFLUENCED_BY,personal-politics
crossbenchers,POSITIONED_BETWEEN,government-and-opposition
crossbenchers,ENABLED,independent-voting
crossbenchers,REPRESENTED,nonpartisan-views
cyber-democracy,EVOLVED_FROM,digital-governance
cyber-democracy,SUPPORTED_BY,social-media-platforms
dark-money,INFLUENCED,campaign-finance
dark-money,CHALLENGED_BY,transparency-legislation
dark-money,USED_IN,political-advertising
de-facto-government,EXERCISES_POWER,without-legal-recognition
de-facto-government,CONTRASTED_WITH,de-jure-government
de-facto-government,OCCURS_AFTER,coup-d-tat
de-jure-government,RECOGNIZED_BY,constitutional-law
de-jure-government,OPPOSED_BY,de-facto-government
de-jure-government,ESTABLISHED_THROUGH,legal-process
decentralization,REDUCED,central-authority
decentralization,ENABLED,local-autonomy
decentralization,INFLUENCED_BY,federalism
decree,RELATED_TO,political-system
deliberative-assembly,PRACTICED_IN,deliberative-democracy
deliberative-assembly,ENABLED_BY,citizen-assembly
deliberative-assembly,SUPPORTED,policy-deliberation
delimitation,DETERMINES,electoral-districts
delimitation,AFFECTED_BY,population-distribution
delimitation,SUBJECT_TO,gerrymandering
democracy,EVOLVED_INTO,liberal-democracy
democracy,SUPPORTED_BY,suffrage
democracy,OPPOSED_BY,autocracy
democratic-centralism,IMPLEMENTED_IN,communist-party-structure
democratic-centralism,COMBINED,internal-debate-and-party-discipline
democratic-centralism,CONTRASTED_WITH,pluralist-democracy
devolution,ENABLED,autonomous-region
devolution,REDUCED,power-centralization
devolution,SUPPORTED_BY,federalism
digital-ballot,ENABLED_BY,digital-governance
digital-ballot,SUPPORTED,electoral-accessibility
digital-ballot,IMPROVED,voter-turnout
digital-governance,EVOLVED_FROM,bureaucracy
digital-governance,ENABLED_BY,ai-powered-assistants
direct-democracy,SUPPORTED,participatory-democracy
dual-mandate,RELATED_TO,political-system
election-day,OCCURS_IN,electoral-cycle
election-day,DETERMINES,political-leadership
election-day,MONITORED_BY,electoral-commission
electioneering,CONDUCTED_DURING,political-campaign
electioneering,REGULATED_BY,ethics-committee
electioneering,INFLUENCED_BY,media-coverage
electoral-college,USED_IN,indirect-democracy
electoral-college,CRITICIZED_FOR,disproportional-representation
electoral-college,STRUCTURED_BY,state-votes
electoral-college-reform,STRUCTURED,elections
electoral-college-vote,ALLOCATED_BY,electoral-college
electoral-college-vote,DETERMINES,presidency
electoral-college-vote,REFLECTS,state-elector-preference
electoral-commission,ADMINISTERS,elections
electoral-commission,ENSURES,electoral-integrity
electoral-commission,REGULATES,campaign-finance
electoral-commission-independence,ENSURES,nonpartisan-oversight
electoral-commission-independence,PROTECTS,voter-confidence
electoral-commission-independence,CHALLENGED_BY,political-interference
electoral-dispute,ARISES_FROM,election-results
electoral-dispute,RESOLVED_BY,electoral-commission
electoral-dispute,THREATENS,political-stability
electoral-district,DEFINED_BY,delimitation
electoral-district,AFFECTED_BY,population-shifts
electoral-district,SUBJECT_TO,gerrymandering
electoral-fraud,UNDERMINES,electoral-integrity
electoral-fraud,INVESTIGATED_BY,electoral-commission
electoral-fraud,OPPOSED_BY,electoral-reform
electoral-integrity,PROTECTED_BY,transparency-legislation
electoral-integrity,ENSURED_BY,electoral-commission
electoral-integrity,CHALLENGED_BY,electoral-fraud
electoral-observation,CONDUCTED_BY,international-monitors
electoral-observation,EVALUATES,electoral-process
electoral-observation,SUPPORTS,electoral-integrity
electoral-quota,ENSURES,minority-representation
electoral-quota,USED_IN,proportional-representation
electoral-quota,CRITICIZED_BY,majoritarianism
electoral-reform,RESPONDED_TO,electoral-fraud
electoral-reform,ENABLED_BY,public-pressure
electoral-reform,RESTRUCTURED,electoral-system
electoral-system,DETERMINES,voting-mechanism
electoral-system,CLASSIFIED_AS,majoritarian-or-proportional
electoral-system,REVISED_BY,electoral-reform
electoral-threshold,SET_IN,proportional-representation
electoral-threshold,AFFECTS,party-representation
electoral-threshold,USED_TO,limit-fragmentation
electoral-violence,THREATENS,voter-safety
electoral-violence,OCCURS_DURING,election-period
electoral-violence,PREVENTED_BY,security-forces
ethics-committee,OVERSEES,political-conduct
ethics-committee,INVESTIGATES,misconduct-allegations
ethics-committee,ENFORCES,campaign-ethics
executive-branch,ENFORCES,laws
executive-branch,LED_BY,head-of-government
executive-branch,INTERACTS_WITH,legislative-branch
factionalism,WEAKENS,party-unity
factionalism,OCCURS_IN,multi-party-system
factionalism,LEADS_TO,internal-conflict
federal-budget,ALLOCATES,public-expenditure
federal-budget,APPROVED_BY,legislature
federal-budget,INFLUENCES,fiscal-policy
federalism,INFLUENCED,parliamentary-system
federalism,INFLUENCED,presidential-system
federalism,INFLUENCED,republicanism
federalism,RESPONDED_TO,centralization
federalism,CONTRASTED_WITH,unitary-state
feudalism,PRECEDED,monarchy
feudalism,OPPOSED_BY,centralized-government
feudalism,INFLUENCED,class-system
filibuster,USED_IN,legislative-process
filibuster,OBSTRUCTS,majority-legislation
filibuster,REGULATED_BY,parliamentary-rules
first-past-the-post,USED_IN,majoritarian-system
first-past-the-post,RESULTS_IN,winner-takes-all
first-past-the-post,CONTRASTED_WITH,proportional-representation
foreign-interference,THREATENS,electoral-integrity
foreign-interference,MONITORED_BY,national-security-agency
foreign-interference,INFLUENCED,election-outcomes
gag-rule,RESTRICTS,legislative-debate
gag-rule,IMPOSED_BY,majority-leader
gag-rule,CRITICIZED_FOR,silencing-opposition
gerrymandering,MANIPULATES,electoral-districts
gerrymandering,AFFECTS,representative-democracy
gerrymandering,OPPOSED_BY,redistricting-reform
governance-index,EVALUATES,government-performance
governance-index,MEASURES,accountability-and-effectiveness
governance-index,PUBLISHED_BY,international-institutions
governing-coalition,FORMED_BY,multi-party-system
government-accountability,ENSURED_BY,transparency-mechanisms
government-accountability,STRENGTHENED_BY,oversight-committees
government-accountability,CHALLENGED_BY,corruption
government-accountability-office,MONITORS,public-spending
government-accountability-office,REPORTS_TO,legislature
government-accountability-office,AUDITS,federal-budget
government-shutdown,RESULTS_FROM,legislative-deadlock
government-shutdown,AFFECTS,public-services
government-shutdown,AVOIDED_BY,budget-compromise
grand-coalition,FORMED_BY,major-parties
grand-coalition,USED_IN,crisis-scenarios
grand-coalition,CHALLENGED_BY,policy-disagreement
grassroots-movement,RELATED_TO,political-system
green-politics,ADVOCATES_FOR,environmental-sustainability
green-politics,OPPOSED_TO,fossil-fuel-lobby
green-politics,INFLUENCED_BY,climate-activism
gubernatorial-power,EXERCISED_BY,state-governor
gubernatorial-power,VARIES_ACROSS,federal-systems
gubernatorial-power,INCLUDES,veto-authority
habeas-corpus,PROTECTS,individual-liberty
habeas-corpus,ENSURED_BY,rule-of-law
habeas-corpus,RESTRICTED_DURING,state-of-emergency
home-rule,ENABLED_BY,devolution
home-rule,GRANTED_TO,local-government
home-rule,CONTRASTED_WITH,direct-rule
hybrid-regime,COMBINES,authoritarianism-and-democracy
hybrid-regime,EXHIBITS,democratic-backsliding
hybrid-regime,CHALLENGED_BY,election-monitoring
impeachment,INITIATED_BY,legislature
impeachment,REMOVES_FROM_OFFICE,executive-leader
impeachment,TRIGGERED_BY,constitutional-violation
imperialism,SUPPORTED,colonialism
imperialism,EVOLVED_INTO,neo-colonialism
incumbency,ASSOCIATED_WITH,name-recognition
incumbency,ADVANTAGED_BY,media-access
incumbency,CHALLENGED_BY,term-limits
incumbency-advantage,INFLUENCES,election-outcomes
incumbency-advantage,ENABLED_BY,access-to-resources
incumbency-advantage,CRITICIZED_FOR,unequal-competition
incumbent,HOLDS,political-office
incumbent,SEEKS,reelection
incumbent,COMPETES_WITH,challenger
initiative,ENABLED_BY,citizen-participation
initiative,USED_IN,direct-democracy
initiative,RESULTS_IN,ballot-initiative
interim-government,ESTABLISHED_DURING,political-transition
interim-government,REPLACED_BY,elected-government
interim-government,LIMITED_TO,caretaker-functions
interpellation,EXERCISED_BY,parliament
interpellation,HOLDS_ACCOUNTABLE,government-ministers
interpellation,USED_IN,legislative-oversight
judicial-activism,INTERPRETS,constitution-broadly
judicial-activism,CHALLENGES,legislative-authority
judicial-activism,SUPPORTED_BY,rights-based-jurisprudence
judicial-appointment,MADE_BY,executive-branch
judicial-appointment,SUBJECT_TO,confirmation-process
judicial-appointment,AFFECTS,judicial-independence
judicial-inquiry,INVESTIGATES,government-misconduct
judicial-inquiry,ORDERED_BY,judiciary
judicial-inquiry,RESULTS_IN,policy-recommendations
judicial-review,ENFORCED_BY,rule-of-law
judicial-review,SUPPORTED_BY,constitution
judiciary,UPHOLDS,rule-of-law
judiciary,INDEPENDENT_FROM,executive-and-legislative
judiciary,EMBODIES,judicial-system
left-wing-politics,ADVOCATES_FOR,social-equality
left-wing-politics,OPPOSES,conservatism
left-wing-politics,SUPPORTS,redistributive-policy
legal-tender-law,MANDATES,use-of-currency
legal-tender-law,REGULATES,monetary-transactions
legal-tender-law,ENFORCED_BY,state-authority
legalism,EMPHASIZES,strict-law-application
legalism,CONTRASTED_WITH,judicial-discretion
legalism,IMPLEMENTED_IN,authoritarian-systems
legislative-calendar,RELATED_TO,political-system
legislative-calendar,OUTLINES,parliamentary-sessions
legislative-calendar,GUIDES,legislative-scheduling
legislative-calendar,AFFECTS,bill-debate-timing
legislative-deadlock,RESULTS_FROM,partisan-gridlock
legislative-deadlock,DELAYED,policy-passage
legislative-deadlock,RESOLVED_BY,compromise
legislative-docket,INCLUDES,proposed-bills
legislative-docket,MANAGED_BY,house-leadership
legislative-docket,AFFECTS,legislative-priority
legislative-oversight,MONITORS,executive-branch
legislative-oversight,EXERCISED_BY,committees
legislative-oversight,STRENGTHENS,government-accountability
legislature,PASSES,statutory-law
legislature,REPRESENTS,electorate
legislature,BALANCES,executive-authority
legitimacy,GRANTED_BY,public-consent
legitimacy,SUSTAINED_BY,effective-governance
legitimacy,CHALLENGED_BY,electoral-fraud
liberal-democracy,RESPONDED_TO,direct-democracy
liberal-democracy,CONTRASTED_BY,illiberal-democracy
lobbying,INFLUENCED,policy-making
majoritarianism,BASED_ON,majority-rule
majoritarianism,CRITICIZED_FOR,minority-exclusion
majoritarianism,IMPLEMENTED_IN,first-past-the-post
majority-rule,ENABLED_BY,elections
majority-rule,CONTRASTED_WITH,consensus-democracy
majority-rule,GROUNDS,democratic-legitimacy
mandate,GRANTED_BY,electorate
mandate,CLAIMED_BY,elected-leader
mandate,GUIDES,policy-agenda
mandate-theory,JUSTIFIES,executive-authority
mandate-theory,BASED_ON,election-results
mandate-theory,CHALLENGED_BY,legislative-opposition
martial-law,SUSPENDS,civil-liberties
martial-law,DECLARED_DURING,state-of-emergency
martial-law,ENFORCED_BY,military
media-bias,INFLUENCES,public-opinion
media-bias,CHALLENGES,media-neutrality
media-bias,MONITORED_BY,media-watchdogs
media-regulation,ENFORCES,content-standards
media-regulation,PROTECTS,public-interest
media-regulation,CHALLENGED_BY,freedom-of-press
military-junta,ENFORCED_BY,authoritarianism
ministerial-ethics,GOVERN,executive-conduct
ministerial-ethics,ENFORCED_BY,ethics-committee
ministerial-ethics,VIOLATED_BY,conflict-of-interest
ministerial-responsibility,PART_OF,parliamentary-system
ministerial-system,STRUCTURES,executive-branch
ministerial-system,OPERATES_UNDER,parliamentary-system
ministerial-system,DISTRIBUTES,governing-responsibilities
minority-government,LACKS,parliamentary-majority
minority-government,REQUIRES,confidence-and-supply
minority-government,SUPPORTED_BY,opposition-parties
minority-rights,PROTECTED_BY,constitution
minority-rights,CHALLENGED_BY,majoritarianism
minority-rights,ENSURED_BY,anti-discrimination-laws
mixed-member-proportional-system,RELATED_TO,political-system
monarchy,EVOLVED_INTO,constitutional-monarchy
monarchy,CHALLENGED_BY,republic
monarchy,JUSTIFIED_BY,divine-right
motion-of-censure,USED_IN,parliamentary-oversight
motion-of-censure,CHALLENGES,government-legitimacy
motion-of-censure,PRECEDES,vote-of-no-confidence
multi-party-system,ALLOWS,diverse-representation
multi-party-system,REQUIRES,coalition-government
multi-party-system,CONTRASTED_WITH,two-party-system
nation-state,DEFINED_BY,sovereignty-and-territory
nation-state,EMERGED_FROM,nationalism
nation-state,RECOGNIZED_BY,international-law
national-unity-government,FORMED_DURING,political-crisis
national-unity-government,INCLUDES,major-rival-parties
national-unity-government,AIMS_TO,stabilize-governance
nationalism,INFLUENCED,fascism
nationalism,CONTRASTED_WITH,cosmopolitanism
neo-colonialism,CHALLENGED_BY,nationalism
no-confidence-motion,INITIATED_BY,opposition
no-confidence-motion,TESTS,support-for-government
no-confidence-motion,RESULTS_IN,government-collapse
non-governmental-organization,OPERATES_OUTSIDE,state-control
non-governmental-organization,ADVOCATES_FOR,civil-rights
non-governmental-organization,PARTICIPATES_IN,policy-discussion
nonpartisan-politics,RELATED_TO,political-system
oligarchy,CONTRASTED_WITH,democracy
oligarchy,RELATED_TO,plutocracy
open-list-proportional-representation,USED_IN,elections
open-list-proportional-representation,ALLOWS,voter-preference-of-candidates
open-list-proportional-representation,CONTRASTED_WITH,closed-list-system
participatory-democracy,EVOLVED_INTO,deliberative-democracy
pluralism,INFLUENCED,liberal-democracy
pluralism,SUPPORTED,civil-society
pluralism,CONTRASTED_WITH,totalitarianism
policy-window,RELATED_TO,political-system
policy-window,OPENS_DURING,favorable-political-moments
policy-window,UTILIZED_BY,policy-entrepreneurs
policy-window,INFLUENCES,legislative-agenda
political-advertising,INFLUENCES,voter-perception
political-advertising,REGULATED_BY,campaign-finance-laws
political-advertising,USED_IN,electioneering
political-amnesty,GRANTED_BY,executive-branch
political-amnesty,RESOLVES,political-conflict
political-amnesty,CRITICIZED_BY,rule-of-law-advocates
political-apathy,REDUCES,voter-turnout
political-apathy,RESULTS_FROM,disillusionment
political-apathy,CHALLENGES,democratic-participation
political-assassination,RELATED_TO,political-system
political-capital,BUILT_ON,public-support
political-capital,SPENT_ON,policy-initiatives
political-capital,AFFECTS,leadership-effectiveness
political-debates,OCCUR_DURING,election-campaigns
political-debates,INFLUENCE,voter-choice
political-debates,MODERATED_BY,media-organizations
political-dynasty,MAINTAINED_BY,family-legacy
political-dynasty,CRITICIZED_FOR,undermining-meritocracy
political-dynasty,OCCURS_IN,electoral-politics
political-efficacy,MEASURES,citizen-confidence
political-efficacy,INFLUENCES,civic-engagement
political-efficacy,REDUCED_BY,political-apathy
political-endorsement,GIVEN_BY,influential-figures
political-endorsement,AFFECTS,voter-preference
political-endorsement,USED_IN,political-campaigns
political-equality,ENSURED_BY,equal-voting-rights
political-equality,CHALLENGED_BY,socioeconomic-inequality
political-equality,REINFORCES,democratic-legitimacy
political-feasibility,EVALUATES,policy-viability
political-feasibility,AFFECTED_BY,public-opinion
political-feasibility,GUIDES,policy-formulation
political-gridlock,RESULTS_FROM,partisan-conflict
political-gridlock,STALLED,legislative-process
political-gridlock,CHALLENGES,governance-efficiency
political-ideology,RELATED_TO,political-system
political-immunity,GRANTED_TO,public-officials
political-immunity,PROTECTS,government-functioning
political-immunity,ABUSED_IN,corrupt-regimes
political-legitimacy,DERIVED_FROM,citizen-consent
political-legitimacy,SUSTAINED_BY,free-and-fair-elections
political-legitimacy,ERODED_BY,governance-failure
political-moderation,BALANCES,extreme-positions
political-moderation,PROMOTED_BY,centrism
political-moderation,ENABLED,consensus-building
political-neutrality,REQUIRED_IN,civil-service
political-neutrality,PROMOTES,nonpartisan-governance
political-neutrality,THREATENED_BY,ideological-pressure
political-party,COMPETES_IN,elections
political-party,REPRESENTS,voter-groups
political-party,STRUCTURED_BY,ideological-platform
political-patronage,REWARDS,supporters
political-patronage,USED_IN,clientelist-systems
political-patronage,CHALLENGED_BY,merit-based-hiring
political-polarization,DIVIDES,public-opinion
political-polarization,HINDERS,bipartisanship
political-polarization,AMPLIFIED_BY,social-media
political-realignment,OCCURS_AFTER,critical-election
political-realignment,RESHAPES,party-system
political-realignment,INFLUENCED_BY,social-change
political-realism,FOCUSES_ON,national-interest
political-realism,CONTRASTED_WITH,idealism
political-realism,INFLUENCES,foreign-policy
political-satire,CRITIQUES,political-figures
political-satire,EXPRESSED_THROUGH,media
political-satire,RAISES,public-awareness
political-science,STUDIES,governance-and-power
political-science,INCLUDES,comparative-politics
political-science,INFORMS,policy-analysis
political-socialization,SHAPES,political-beliefs
political-socialization,INFLUENCED_BY,family-and-education
political-socialization,PREPARES,citizenship
political-spectrum,MAPS,ideological-positions
political-spectrum,USED_TO,classify-political-ideologies
political-spectrum,INCLUDES,left-and-right-wing
political-succession,DETERMINES,leadership-transition
political-succession,GUIDED_BY,constitutional-law
political-succession,ENSURES,government-continuity
populism,INFLUENCED,illiberal-democracy
populism,OPPOSED,technocracy
pork-barrel-politics,ALLOCATES,funds-to-local-projects
pork-barrel-politics,USED_BY,legislators-for-political-gain
pork-barrel-politics,CRITICIZED_FOR,wasteful-spending
power-centralization,CONCENTRATES,authority-in-central-government
power-centralization,CONTRASTED_WITH,decentralization
power-centralization,USED_IN,authoritarian-systems
power-sharing,DISTRIBUTES,authority-among-groups
power-sharing,ENABLED_BY,consensus-democracy
power-sharing,REDUCES,political-conflict
power-vacuum,OCCURS_AFTER,regime-collapse
power-vacuum,LEADS_TO,political-instability
power-vacuum,EXPLOITED_BY,emerging-factions
presidential-veto,BLOCKS,legislation
presidential-veto,EXERCISED_BY,head-of-state
presidential-veto,OVERRIDDEN_BY,supermajority-vote
progressivism,RELATED_TO,political-system
progressivism,ADVOCATES_FOR,social-reforms
progressivism,INFLUENCED_BY,egalitarian-values
progressivism,OPPOSED_BY,conservatism
proportional-representation,ALLOCATES,seats-based-on-vote-share
proportional-representation,USED_IN,multi-party-systems
proportional-representation,CONTRASTED_WITH,majoritarian-systems
protest-vote,EXPRESSES,dissatisfaction-with-choices
protest-vote,OCCURS_IN,elections
protest-vote,AFFECTS,electoral-outcomes
proxy-voting,AUTHORIZED_BY,voter-consent
proxy-voting,USED_IN,absentee-voting
proxy-voting,REGULATED_BY,electoral-laws
public-expenditure,FUNDS,government-services
public-expenditure,ALLOCATED_IN,federal-budget
public-expenditure,MONITORED_BY,auditing-agencies
public-opinion-polls,MEASURE,citizen-preferences
public-opinion-polls,INFLUENCE,campaign-strategy
public-opinion-polls,USED_IN,political-debates
public-policy,FORMULATED_BY,government-agencies
public-policy,GUIDED_BY,political-platforms
public-policy,AFFECTS,national-development
public-referendum,DECIDES,specific-issue
public-referendum,ENABLED_BY,citizen-petition
public-referendum,USED_IN,direct-democracy
public-trust,BUILT_BY,transparent-governance
public-trust,AFFECTS,political-legitimacy
public-trust,ERODED_BY,corruption
quorum,REQUIRED_FOR,official-vote
quorum,SET_BY,legislative-rules
quorum,ENSURES,minimum-participation
realpolitik,OPPOSED,idealism
realpolitik,INFLUENCED,foreign-policy
realpolitik,RESPONDED_TO,geopolitical-realities
recall-election,TRIGGERED_BY,recall-mechanism
recall-election,REMOVES,public-official
recall-election,EMPOWERS,voters
recall-mechanism,ENABLED_BY,constitution-or-statute
recall-mechanism,USED_IN,direct-democracy
recall-mechanism,INITIATED_BY,citizen-petition
recall-vote,HELD_DURING,recall-election
recall-vote,DETERMINES,official-removal
recall-vote,PART_OF,civic-accountability
red-tape,HINDERS,administrative-efficiency
red-tape,CRITICIZED_FOR,excessive-bureaucracy
red-tape,ADDRESSED_BY,administrative-reform
redistricting,RESHAPES,electoral-boundaries
redistricting,BASED_ON,population-data
redistricting,SUBJECT_TO,gerrymandering
referendum,DECIDES,specific-policy-issue
referendum,ENABLED_BY,direct-democracy
referendum,TRIGGERED_BY,petition-or-legislation
representative-democracy,ELECTS,legislative-body
representative-democracy,BASED_ON,majority-rule
representative-democracy,CONTRASTED_WITH,direct-democracy
republic,INFLUENCED,democracy
republic,EMBRACED_BY,roman-republic
republic,SUPPORTED_BY,civic-virtue
republicanism,PRECEDED,modern-democracy
republicanism,INFLUENCED,constitutionalism
republicanism,CONTRASTED_WITH,monarchy
right-wing-politics,ADVOCATES_FOR,traditional-values
right-wing-politics,OPPOSED_TO,left-wing-politics
right-wing-politics,SUPPORTS,market-oriented-policies
rotating-presidency,SHARED_AMONG,coalition-partners
rotating-presidency,USED_IN,power-sharing-agreements
rotating-presidency,APPLIED_IN,confederate-structures
rule-of-law,SUPPORTED,constitutional-monarchy
rule-of-law,CHALLENGED_BY,tyranny
runoff-election,OCCURS_AFTER,undecided-first-round
runoff-election,DETERMINES,majority-winner
runoff-election,USED_IN,two-round-system
safe-seat,HELD_BY,dominant-party
safe-seat,RARELY,flips-in-elections
safe-seat,AFFECTS,voter-turnout
secret-ballot,ENSURES,voter-privacy
secret-ballot,PROTECTS,free-choice
