name,definition,category,slug
Legalism,A philosophy advocating strict adherence to law as the basis of governance.,Political Systems & Governance,legalism
Electoral Fraud,Illegal interference with the process of an election.,Political Systems & Governance,electoral-fraud
Ballot Access,Rules governing who can appear on election ballots.,Political Systems & Governance,ballot-access
Political Endorsement,A public declaration of support for a candidate or policy.,Political Systems & Governance,political-endorsement
Campaign Strategy,A plan to influence voters and win an election.,Political Systems & Governance,campaign-strategy
Voter Turnout,The percentage of eligible voters who participate in an election.,Political Systems & Governance,voter-turnout
Gag Rule,A regulation preventing open discussion on certain topics in legislative bodies.,Political Systems & Governance,gag-rule
Political Patronage,The practice of rewarding supporters with government positions.,Political Systems & Governance,political-patronage
Power Centralization,The concentration of political authority in a central government.,Political Systems & Governance,power-centralization
Decentralization,The distribution of power from central to local governments.,Political Systems & Governance,decentralization
Statism,The belief in extensive government control of economic and social policy.,Political Systems & Governance,statism
Plurality Voting,An electoral system where the candidate with the most votes wins.,Political Systems & Governance,plurality-voting
Runoff Election,A second election to determine a winner among the top candidates.,Political Systems & Governance,runoff-election
Swing State,A state where political support is evenly divided and unpredictable.,Political Systems & Governance,swing-state
Safe Seat,An electoral district consistently won by the same party or candidate.,Political Systems & Governance,safe-seat
Protest Vote,A vote cast to express dissatisfaction rather than support.,Political Systems & Governance,protest-vote
Compulsory Voting,Legal requirement for eligible citizens to vote.,Political Systems & Governance,compulsory-voting
Electoral College Reform,Proposals to change the method of electing the president.,Political Systems & Governance,electoral-college-reform
Recall Mechanism,A legal process for removing elected officials before term ends.,Political Systems & Governance,recall-mechanism
Spoiler Effect,When a third-party candidate alters the outcome by splitting votes.,Political Systems & Governance,spoiler-effect
Redistricting,"Redrawing electoral district boundaries, often after a census.",Political Systems & Governance,redistricting
Vote Buying,Illegally offering money or gifts in exchange for votes.,Political Systems & Governance,vote-buying
Campaign Trail,The route and events followed by a candidate during election season.,Political Systems & Governance,campaign-trail
Grassroots Movement,A political movement driven by the constituents of a community.,Political Systems & Governance,grassroots-movement
Political Debates,Public discussions between candidates outlining their positions.,Political Systems & Governance,political-debates
Town Hall Meeting,An event where officials meet with constituents to discuss issues.,Political Systems & Governance,town-hall-meeting
Public Opinion Polls,Surveys measuring citizens’ views on political topics.,Political Systems & Governance,public-opinion-polls
Approval Rating,A measure of public support for a political figure.,Political Systems & Governance,approval-rating
Media Bias,The perception or reality of favoritism in news coverage.,Political Systems & Governance,media-bias
Political Satire,Humor used to criticize politics or politicians.,Political Systems & Governance,political-satire
Civil Resistance,"Nonviolent opposition to authority, often for political change.",Political Systems & Governance,civil-resistance
Constitutional Monarchy with Parliament,A monarchy with legislative powers held by an elected body.,Political Systems & Governance,constitutional-monarchy-with-parliament
Electoral Commission,A body overseeing the conduct of elections.,Political Systems & Governance,electoral-commission
Voting Machine,Electronic devices used to record and count votes.,Political Systems & Governance,voting-machine
Political Advertising,Media used to promote political candidates or policies.,Political Systems & Governance,political-advertising
Super PAC,An independent political action committee that can raise unlimited funds.,Political Systems & Governance,super-pac
Dark Money,Political spending by undisclosed donors or sources.,Political Systems & Governance,dark-money
Political Socialization,The process by which individuals acquire political beliefs and values.,Political Systems & Governance,political-socialization
Constitutional Law,Law that defines the structure and function of government institutions.,Political Systems & Governance,constitutional-law
Administrative Reform,Changes aimed at improving efficiency in public administration.,Political Systems & Governance,administrative-reform
Political Equality,The principle that all citizens have equal political rights and influence.,Political Systems & Governance,political-equality
Voter Suppression,Strategies used to prevent or discourage certain groups from voting.,Political Systems & Governance,voter-suppression
Incumbency,The holding of an office or the period during which one is held.,Political Systems & Governance,incumbency
Electoral Dispute,A disagreement arising from the conduct or results of an election.,Political Systems & Governance,electoral-dispute
Civil Code,A comprehensive set of laws governing private rights and matters.,Political Systems & Governance,civil-code
Ministerial Ethics,Standards of conduct expected of government ministers.,Political Systems & Governance,ministerial-ethics
Public Trust,The confidence citizens have in their government and leaders.,Political Systems & Governance,public-trust
Electoral District,A geographical area represented by an elected official.,Political Systems & Governance,electoral-district
Shadow Government,A group of opposition leaders prepared to take office if elected.,Political Systems & Governance,shadow-government
Mandate Theory,The belief that election winners have authorization to implement policies.,Political Systems & Governance,mandate-theory
Federal Budget,The government’s plan for revenue and spending for a fiscal year.,Political Systems & Governance,federal-budget
Public Expenditure,Spending by government to meet public needs.,Political Systems & Governance,public-expenditure
Political Apathy,Lack of interest or concern in political activities.,Political Systems & Governance,political-apathy
Civic Engagement,Participation in the political and community activities of a society.,Political Systems & Governance,civic-engagement
Recall Vote,A direct vote to remove an elected official before the end of term.,Political Systems & Governance,recall-vote
Constitutional Convention,A gathering to draft or revise a nation's constitution.,Political Systems & Governance,constitutional-convention
Electoral College Vote,The formal vote that elects the president in certain systems.,Political Systems & Governance,electoral-college-vote
Plural Executive,A system where multiple officials share executive authority.,Political Systems & Governance,plural-executive
Ministerial System,A structure where government departments are led by individual ministers.,Political Systems & Governance,ministerial-system
De Facto Government,A government that exercises power regardless of legal legitimacy.,Political Systems & Governance,de-facto-government
De Jure Government,A government that is legally recognized regardless of actual control.,Political Systems & Governance,de-jure-government
Political Science,"The academic discipline studying governments, policies, and political behavior.",Political Systems & Governance,political-science
Authoritarian Capitalism,An economic system combining a free market with authoritarian governance.,Political Systems & Governance,authoritarian-capitalism
Electoral Observation,Monitoring elections to ensure transparency and fairness.,Political Systems & Governance,electoral-observation
Ballot Harvesting,Collecting completed ballots to submit them on behalf of voters.,Political Systems & Governance,ballot-harvesting
Campaign Ethics,Standards and rules guiding the conduct of political campaigns.,Political Systems & Governance,campaign-ethics
Electoral Quota,A rule that sets minimum representation for a group in elected bodies.,Political Systems & Governance,electoral-quota
Judicial Appointment,The process of selecting judges for courts.,Political Systems & Governance,judicial-appointment
Governing Coalition,An alliance of parties forming a majority to govern.,Political Systems & Governance,governing-coalition
Succession Plan,A strategy for replacing leaders or transferring power.,Political Systems & Governance,succession-plan
Political Assassination,The targeted killing of a political figure.,Political Systems & Governance,political-assassination
Political Amnesty,"A pardon for political offenses, usually by the government.",Political Systems & Governance,political-amnesty
Foreign Interference,External influence intended to affect domestic political outcomes.,Political Systems & Governance,foreign-interference
Electioneering,The act of campaigning in an election.,Political Systems & Governance,electioneering
Public Referendum,A direct vote on a specific political question posed to citizens.,Political Systems & Governance,public-referendum
Sovereign Immunity,Legal doctrine shielding governments from certain legal actions.,Political Systems & Governance,sovereign-immunity
Interim Government,A temporary government established during political transition.,Political Systems & Governance,interim-government
Vote Tallying,The process of counting votes in an election.,Political Systems & Governance,vote-tallying
Electoral Violence,Acts of violence aimed at influencing electoral processes.,Political Systems & Governance,electoral-violence
State Legislature,A legislative body governing a political subdivision of a country.,Political Systems & Governance,state-legislature
Governance Index,A measure used to evaluate the effectiveness of governance.,Political Systems & Governance,governance-index
Citizen Assembly,A representative group of citizens convened to deliberate policy.,Political Systems & Governance,citizen-assembly
Minority Government,A government where the ruling party holds fewer seats than the opposition.,Political Systems & Governance,minority-government
Crossbenchers,Legislators not aligned with the government or opposition.,Political Systems & Governance,crossbenchers
Election Day,The official day on which elections are held.,Political Systems & Governance,election-day
Political Neutrality,The principle of not favoring any political party or position.,Political Systems & Governance,political-neutrality
Constitutional Safeguards,Legal protections enshrined in a constitution to uphold rights and prevent abuse.,Political Systems & Governance,constitutional-safeguards
Government Accountability Office,An agency that monitors the spending of public funds and government performance.,Political Systems & Governance,government-accountability-office
Whip System,A method in parliamentary systems to ensure party discipline during votes.,Political Systems & Governance,whip-system
Confidence and Supply,An agreement where a party supports the government in exchange for policy concessions.,Political Systems & Governance,confidence-and-supply
Dual Mandate,When a politician holds two elected positions simultaneously.,Political Systems & Governance,dual-mandate
Shadow Vote,"A symbolic vote used for planning or signaling, without legal effect.",Political Systems & Governance,shadow-vote
Rotating Presidency,An arrangement where the presidency is shared or alternated among members.,Political Systems & Governance,rotating-presidency
Constitutional Tribunal,A high court that reviews laws for constitutional compliance.,Political Systems & Governance,constitutional-tribunal
Electoral Commission Independence,The impartiality of the body overseeing elections.,Political Systems & Governance,electoral-commission-independence
Delimitation,Redrawing boundaries of electoral constituencies.,Political Systems & Governance,delimitation
No-Confidence Motion,A formal statement that the legislature no longer supports the executive.,Political Systems & Governance,no-confidence-motion
Interpellation,A formal request by a legislator for explanation from a government minister.,Political Systems & Governance,interpellation
Political Immunity,Legal protection for politicians against prosecution during office.,Political Systems & Governance,political-immunity
Plural Voting,A voting system where individuals may cast more than one vote.,Political Systems & Governance,plural-voting
Political Succession,The process of transferring leadership in a political system.,Political Systems & Governance,political-succession
Unicameralism,A legislature composed of a single chamber.,Political Systems & Governance,unicameralism
Vote of Confidence,A test to confirm legislative support for the government.,Political Systems & Governance,vote-of-confidence
Open List Proportional Representation,An electoral system allowing voters to influence candidate order.,Political Systems & Governance,open-list-proportional-representation
Closed List System,An electoral system where parties control the order of candidates elected.,Political Systems & Governance,closed-list-system
Mixed-Member Proportional System,A system combining direct and proportional representation.,Political Systems & Governance,mixed-member-proportional-system
Majority Rule,A principle where the decision of more than half prevails.,Political Systems & Governance,majority-rule
Minority Rights,Legal protections for groups not in the majority.,Political Systems & Governance,minority-rights
Political Realism,A theory focusing on power and national interest in politics.,Political Systems & Governance,political-realism
State Audit,Review of government financial activities to ensure legal compliance.,Political Systems & Governance,state-audit
Ombudsman,An independent official who investigates complaints against the government.,Political Systems & Governance,ombudsman
Legislative Calendar,The schedule outlining dates for parliamentary sessions.,Political Systems & Governance,legislative-calendar
Presidential Veto,The president’s power to reject legislation.,Political Systems & Governance,presidential-veto
Constitutional Reform,Changes made to a constitution to update or improve governance.,Political Systems & Governance,constitutional-reform
Caretaker Prime Minister,A temporary leader maintaining government functions during transitions.,Political Systems & Governance,caretaker-prime-minister
National Unity Government,A coalition of all major political parties during crisis.,Political Systems & Governance,national-unity-government
Pork Barrel Politics,Government spending for localized projects to gain political support.,Political Systems & Governance,pork-barrel-politics
Proxy Voting,Voting on behalf of another authorized individual.,Political Systems & Governance,proxy-voting
Cross-Voting,When a legislator votes against their party’s official position.,Political Systems & Governance,cross-voting
Judicial Inquiry,A legal investigation ordered to examine public concerns.,Political Systems & Governance,judicial-inquiry
Grand Coalition,A broad alliance between major political parties.,Political Systems & Governance,grand-coalition
Political Moderation,Avoidance of extreme views and advocacy for balanced solutions.,Political Systems & Governance,political-moderation
Youth Parliament,A platform for young people to debate and engage in mock legislation.,Political Systems & Governance,youth-parliament
Digital Ballot,A secure online method for casting votes.,Political Systems & Governance,digital-ballot
Constitutional Checks,Mechanisms to limit government power through law.,Political Systems & Governance,constitutional-checks
Media Regulation,Laws governing the behavior of news and broadcasting outlets.,Political Systems & Governance,media-regulation
Transparency Legislation,Laws mandating open government processes and data.,Political Systems & Governance,transparency-legislation
Whistleblower Protection,Legal safeguards for individuals exposing wrongdoing.,Political Systems & Governance,whistleblower-protection
Ethics Committee,A body that investigates ethical violations in government.,Political Systems & Governance,ethics-committee
Legal Tender Law,A statute defining official currency that must be accepted for debts.,Political Systems & Governance,legal-tender-law
Deliberative Assembly,A body that debates and decides collective policies.,Political Systems & Governance,deliberative-assembly
Nonpartisan Politics,Political engagement free from party affiliations.,Political Systems & Governance,nonpartisan-politics
Vote Share,The percentage of total votes received by a candidate or party.,Political Systems & Governance,vote-share
Legislative Docket,A list of legislative proposals scheduled for consideration.,Political Systems & Governance,legislative-docket
Political Feasibility,Assessment of whether a policy is likely to gain support.,Political Systems & Governance,political-feasibility
Statecraft,"The skillful management of state affairs and governance, including diplomacy, strategy, and administration.",Political Systems & Governance,statecraft
Unjust Laws,"Laws that are considered morally or ethically wrong, often violating principles of justice, equality, or fundamental rights.",Political Systems & Governance,unjust-laws
Absentee Voting,A voting method that allows citizens to vote without being physically present at the polling station.,Political Systems & Governance,absentee-voting
Access to Resources,"The availability of financial, institutional, or informational support for political actors or institutions.",Political Systems & Governance,access-to-resources
Accountability,The obligation of political actors to answer for their actions and decisions to the public and institutions.,Political Systems & Governance,accountability
Accountability and Effectiveness,Measures of how well governments perform and respond to public needs while being held responsible.,Political Systems & Governance,accountability-and-effectiveness
Administrative Efficiency,The ability of bureaucracies and institutions to function with minimal waste and high productivity.,Political Systems & Governance,administrative-efficiency
AI-Powered Assistants,Technological tools using artificial intelligence to support digital governance and decision-making.,Political Systems & Governance,ai-powered-assistants
Alternative Government,A proposed or informal governing body created by the opposition as a counter to the ruling government.,Political Systems & Governance,alternative-government
Alternative Policies,Policy proposals or solutions offered by political actors outside of the current administration.,Political Systems & Governance,alternative-policies
Anti-Corruption,"Efforts and measures aimed at preventing, detecting, and punishing corruption in governance.",Political Systems & Governance,anti-corruption
Anti-Corruption Reform,Legislative and institutional changes intended to reduce corruption in public administration.,Political Systems & Governance,anti-corruption-reform
Anti-Discrimination Laws,Legislation designed to protect individuals and groups from unfair treatment based on identity.,Political Systems & Governance,anti-discrimination-laws
Auditing Agencies,Organizations responsible for examining the use of public funds to ensure transparency and accountability.,Political Systems & Governance,auditing-agencies
Authoritarian Communism,A political system combining centralized control with Marxist-Leninist ideology.,Political Systems & Governance,authoritarian-communism
Authoritarian Systems,Governments characterized by strong central power and limited political freedoms.,Political Systems & Governance,authoritarian-systems
Authoritarianism and Democracy,A hybrid political model combining elements of democratic procedures with authoritarian rule.,Political Systems & Governance,authoritarianism-and-democracy
Authority Among Groups,The distribution of political power across various groups in a governance system.,Political Systems & Governance,authority-among-groups
Authority in Central Government,The concentration of decision-making and power at the national level.,Political Systems & Governance,authority-in-central-government
Bill Debate Timing,The scheduled time for legislative discussions on proposed laws.,Political Systems & Governance,bill-debate-timing
Bipartisanship,Cooperation between major political parties to pass legislation or govern effectively.,Political Systems & Governance,bipartisanship
Budget Compromise,A negotiated agreement between political actors to pass a government budget.,Political Systems & Governance,budget-compromise
Campaign Finance Laws,Regulations governing the funding and expenditures of political campaigns.,Political Systems & Governance,campaign-finance-laws
Capitalist Ownership,The private control of property and production for profit within a capitalist economy.,Political Systems & Governance,capitalist-ownership
Caretaker Functions,Limited duties performed by a temporary government until a new one is elected.,Political Systems & Governance,caretaker-functions
Central Authority,The governing power located at the top of a political or administrative hierarchy.,Political Systems & Governance,central-authority
Central Government Role,The responsibilities and functions carried out by a national-level government.,Political Systems & Governance,central-government-role
Centralization,The process of concentrating political power and decision-making in a central authority.,Political Systems & Governance,centralization
Centralized Government,A government structure where all major decisions are made by a single national authority.,Political Systems & Governance,centralized-government
Challenger,A political candidate who runs against an incumbent for public office.,Political Systems & Governance,challenger
