slug,name,startYear,endYear,region,scope,category
anti-corruption-waves-asia,Anti-Corruption Waves,2010,2025,Asia,continent,Governance & Regulation
open-data-egov-asia,Open Data & E-Government,2010,2025,Asia,continent,Governance & Regulation
crypto-regulation-asia,Crypto/Virtual-Asset Regulation,2017,2025,Asia,continent,Governance & Regulation
disaster-risk-reduction-asia,Disaster Risk Reduction Frameworks,2005,2025,Asia,continent,Governance & Regulation
cybersecurity-regulation-asia,Cybersecurity Regulation Build-out,2015,2025,Asia,continent,Governance & Regulation
data-protection-privacy-asia,Data Protection & Privacy Laws,2016,2025,Asia,continent,Governance & Regulation
semiconductor-policy-alliances-asia,Semiconductor Policy Alliances,2020,2025,Asia,continent,Governance & Regulation
ai-safety-governance-dialogues-asia,AI Safety & Governance Dialogues,2023,2025,Asia,continent,Governance & Regulation
black-death-pandemic-asia,Black Death Pandemic in Asia,1346,1353,Asia,continent,Health & Pandemics
cholera-pandemics-asia-19th,Cholera Pandemics across Asia,1817,1923,Asia,continent,Health & Pandemics
influenza-1918-asia,1918–20 Influenza Pandemic in Asia,1918,1920,Asia,continent,Health & Pandemics
sars-outbreak-asia,SARS Outbreak in Asia,2003,2004,Asia,continent,Health & Pandemics
avian-influenza-h5n1-asia,Avian Influenza (H5N1) Waves,2004,2010,Asia,continent,Health & Pandemics
covid-19-pandemic-asia,COVID-19 Pandemic in Asia,2020,2023,Asia,continent,Health & Pandemics
containerization-ports-revolution-asia,Containerization & Ports Revolution,1970,2010,Asia,continent,Infrastructure & Connectivity
belt-and-road-initiative-asia,Belt and Road Initiative (Asia Phase),2013,2025,Asia,continent,Infrastructure & Connectivity
high-speed-rail-expansion-asia,High-Speed Rail Expansion,2005,2025,Asia,continent,Infrastructure & Connectivity
logistics-corridors-integration-asia,Logistics Corridors Integration,2015,2025,Asia,continent,Infrastructure & Connectivity
satellite-tv-media-liberalization-asia,Satellite TV & Media Liberalization,1990,2010,Asia,continent,Media & Communication
gaming-esports-rise-asia,Gaming & Esports Rise,2010,2025,Asia,continent,Media & Communication
social-media-platformization-asia,Social Media Platformization,2010,2025,Asia,continent,Media & Communication
asian-peopling-late-pleistocene,Peopling of Asia (Late Pleistocene),-70000,-30000,Asia,continent,Migration & Demography
postglacial-recolonization-asia,Post-Glacial Recolonization of Asia,-18000,-10000,Asia,continent,Migration & Demography
labor-migration-gulf-asia,Trans-Asian Labor Migration (Gulf-linked),1970,2025,Asia,continent,Migration & Demography
youth-bulge-urbanization-asia,Youth Bulge & Urbanization,1980,2010,Asia,continent,Migration & Demography
aging-and-low-fertility-asia,Aging & Low Fertility Transition,1995,2025,Asia,continent,Migration & Demography
interwar-turbulence-asia,Interwar Turbulence in Asia,1919,1936,Asia,continent,Political Transition
asian-decolonization,Decolonization in Asia,1945,1975,Asia,continent,Political Transition
non-aligned-movement-asia,Non-Aligned Movement in Asia,1955,1989,Asia,continent,Political Transition
sino-soviet-split-realignments-asia,Sino-Soviet Split & Realignments,1956,1989,Asia,continent,Political Transition
collapse-soviet-central-asia,Collapse of Soviet Central Asia,1991,1992,Central Asia,subregion,Political Transition
taliban-first-rule,Taliban’s First Rule in Afghanistan,1996,2001,South Asia,subregion,Political Transition
buddhism-spread-across-asia,Spread of Buddhism across Asia,-250,1200,Asia,continent,Religious Expansion & Reform
spread-of-islam-across-asia,Spread of Islam across Asia,650,1500,Asia,continent,Religious Expansion & Reform
zoroastrianism-rise-persia,Rise of Zoroastrianism,-1000,600,West Asia,subregion,Religious Expansion & Reform
spread-of-christianity-asia,Spread of Christianity into Asia,50,1500,Asia,multi-region,Religious Expansion & Reform
spread-of-hinduism-se-asia,Spread of Hinduism to Southeast Asia,200,1000,SE Asia,subregion,Religious Expansion & Reform
sufism-diffusion-central-asia,Spread of Sufism in Central Asia,1100,1700,Central Asia,subregion,Religious Expansion & Reform
neo-confucianism-song,Neo-Confucianism under Song Dynasty,1000,1300,East Asia,subregion,Religious Expansion & Reform
shinto-institutionalization-japan,Institutionalization of Shinto,600,1600,East Asia,subregion,Religious Expansion & Reform
buddhist-revival-sri-lanka,Buddhist Revival in Sri Lanka,1880,1950,South Asia,subregion,Religious Expansion & Reform
hindu-revivalism-19c,Hindu Revivalism in 19th-Century India,1820,1900,South Asia,subregion,Religious Expansion & Reform
islamic-revival-movement-asia,Islamic Revival Movements in Asia,1970,2020,Asia,multi-region,Religious Expansion & Reform
space-programs-asia,Asian Space Programs,2000,2025,Asia,continent,Science & Space
tiananmen-square-protests,Tiananmen Square Protests,1989,1989,East Asia,subregion,Social Movement & Protest
mega-sporting-events-asia,Mega-Sporting Events Cycle,2008,2022,Asia,continent,Society & Culture
pan-asian-ngo-networking,Pan-Asian NGO Networking,1995,2015,Asia,continent,Society & Culture
women-labor-force-rise-asia,Rise of Women’s Labor Force Participation,1975,2010,Asia,continent,Society & Culture
asian-neolithic-transition,Neolithic Transition in Asia,-10000,-4000,Asia,continent,Technological Innovation & Adoption
domestication-rice-millet-asia,Domestication & Spread of Rice/Millet in Asia,-8000,-2000,Asia,continent,Technological Innovation & Adoption
bronze-age-diffusion-asia,Bronze Age Technologies Diffusion across Asia,-3300,-1200,Asia,continent,Technological Innovation & Adoption
horse-chariot-complex-asia,Horse & Chariot Complex Diffusion,-2000,-800,Asia,continent,Technological Innovation & Adoption
early-iron-age-adoption-asia,Early Iron Age Adoption across Asia,-1200,500,Asia,continent,Technological Innovation & Adoption
paper-technology-spread-asia,Invention & Spread of Paper in Asia,-200,1100,Asia,continent,Technological Innovation & Adoption
gunpowder-revolution-asia,Gunpowder Revolution in Asia,900,1600,Asia,continent,Technological Innovation & Adoption
compass-navigation-diffusion-asia,Compass Navigation Diffusion,1000,1500,Asia,continent,Technological Innovation & Adoption
new-world-crops-diffusion-asia,New World Crops Diffusion in Asia,1550,1800,Asia,continent,Technological Innovation & Adoption
green-revolution-asia,Green Revolution across Asia,1965,1995,Asia,continent,Technological Innovation & Adoption
information-technology-boom-asia,Information Technology Boom,1990,2015,Asia,continent,Technological Innovation & Adoption
mobile-internet-diffusion-asia,Mobile & Internet Diffusion in Asia,2000,2015,Asia,continent,Technological Innovation & Adoption
chip-supply-chain-rewiring-asia,Chip Supply-Chain Rewiring,2018,2025,Asia,continent,Technological Innovation & Adoption
open-source-ecosystems-asia,Open-Source Ecosystems in Asia,2005,2025,Asia,continent,Technological Innovation & Adoption
ai-adoption-wave-asia,AI Adoption Wave,2017,2025,Asia,continent,Technological Innovation & Adoption
spice-trade-integration-asia,Spice Trade Integration across Asia,500,1600,Asia,continent,Trade & Economy
pax-mongolica-transcontinental,Pax Mongolica (Transcontinental),1240,1350,Asia,continent,Trade & Economy
oil-shocks-remittance-flows-asia,Oil Shocks & Remittance Flows,1973,1986,Asia,continent,Trade & Economy
asian-tiger-industrialization,Asian Tiger Industrialization Wave,1960,2000,Asia,continent,Trade & Economy
commodity-supercycle-impact-asia,Commodity Supercycle Impact,2002,2014,Asia,continent,Trade & Economy
ecommerce-digital-payments-asia,E-commerce & Digital Payments,2010,2025,Asia,continent,Trade & Economy
microelectronics-manufacturing-rise-asia,Microelectronics Manufacturing Rise,1980,2010,Asia,continent,Trade & Economy
apparel-supply-shifts-asia,Apparel Supply-Chain Shifts,1985,2010,Asia,continent,Trade & Economy
regional-trade-agreements-asia,Regional Trade Agreements Wave,2000,2025,Asia,continent,Trade & Economy
tourism-boom-asia,Tourism Boom (Pre-COVID),2000,2019,Asia,continent,Trade & Economy
early-urbanization-asia,Early Urbanization Waves across Asia,-3500,-1500,Asia,continent,Urbanization & Megacities
megacity-formation-asia,Mega-City Formation across Asia,1990,2025,Asia,continent,Urbanization & Megacities
world-war-i-asia,World War I (Asia Dimensions),1914,1918,Asia,continent,War & Conflict
world-war-ii-asia,World War II (Asia–Pacific),1937,1945,Asia,continent,War & Conflict
cold-war-in-asia,Cold War in Asia,1947,1991,Asia,continent,War & Conflict
nuclear-shadow-asia,US-Soviet Nuclear Shadow over Asia,1950,1991,Asia,continent,War & Conflict
iran-iraq-war,Iran–Iraq War,1980,1988,West Asia,subregion,War & Conflict
