start_slug,verb,end_slug,raw_line
pilgrimage_of_grace_1536,OCCURS_IN,york,- (Pilgrimage_of_Grace_1536) OCCURS_IN (York)
parish_bible_installations,OCCURS_IN,canterbury,- (Parish_Bible_Installations) OCCURS_IN (Canterbury)
thomas_more,DISPUTES,royal_supremacy,- (Thomas_More) DISPUTES (Royal_Supremacy)
thomas_more,ENDORSES,humanism_in_england,- (Thomas_More) ENDORSES (Humanism_in_England)
william_tyndale,ENDORSES,english_bible_translation,- (William_Tyndale) ENDORSES (English_Bible_Translation)
miles_coverdale,ENDORSES,english_bible_translation,- (Miles_Coverdale) ENDORSES (English_Bible_Translation)
church_of_england,PROMULGATES,book_of_common_prayer_1549,- (Church_of_England) PROMULGATES (Book_of_Common_Prayer_1549)
church_of_england,PROMULGATES,book_of_common_prayer_1552,- (Church_of_England) PROMULGATES (Book_of_Common_Prayer_1552)
church_of_england,PROMULGATES,forty_two_articles_1553,- (Church_of_England) PROMULGATES (Forty-Two_Articles_1553)
church_of_england,PROMULGATES,book_of_homilies_1547,- (Church_of_England) PROMULGATES (Book_of_Homilies_1547)
lord_protectorate,PROMULGATES,injunctions_1547,- (Lord_Protectorate) PROMULGATES (Injunctions_1547)
privy_council,PROMULGATES,chantries_act_1547,- (Privy_Council) PROMULGATES (Chantries_Act_1547)
thomas_cranmer,LEADS,prayer_book_reform,- (Thomas_Cranmer) LEADS (Prayer_Book_Reform)
privy_council,ORGANIZES,doctrinal_articles_promulgation,- (Privy_Council) ORGANIZES (Doctrinal_Articles_Promulgation)
lord_protectorate,ORGANIZES,western_rebellion_1549,- (Lord_Protectorate) ORGANIZES (Western_Rebellion_1549) — suppression response
book_of_common_prayer_1552,STANDARDIZES,protestant_doctrine_in_england,- (Book_of_Common_Prayer_1552) STANDARDIZES (Protestant_Doctrine_in_England)
book_of_homilies_1547,TRANSMITS,protestant_doctrine_in_england,- (Book_of_Homilies_1547) TRANSMITS (Protestant_Doctrine_in_England)
edward_vi,ENDORSES,protestant_doctrine_in_england,- (Edward_VI) ENDORSES (Protestant_Doctrine_in_England)
doctrinal_articles_promulgation,OCCURS_IN,london,- (Doctrinal_Articles_Promulgation) OCCURS_IN (London)
western_rebellion_1549,OCCURS_IN,devon,- (Western_Rebellion_1549) OCCURS_IN (Devon)
western_rebellion_1549,OCCURS_IN,cornwall,- (Western_Rebellion_1549) OCCURS_IN (Cornwall)
ketts_rebellion_1549,OCCURS_IN,norfolk,- (Ketts_Rebellion_1549) OCCURS_IN (Norfolk)
roman_catholic_church,PARDONS,english_realm,- (Roman_Catholic_Church) PARDONS (English_Realm) — reconciliation formula
roman_catholic_church,CENSORS,protestant_doctrine_in_england,- (Roman_Catholic_Church) CENSORS (Protestant_Doctrine_in_England)
mary_i,DECLARES,reconciliation_with_rome,- (Mary_I) DECLARES (Reconciliation_with_Rome)
reginald_pole,ORGANIZES,reconciliation_with_rome,- (Reginald_Pole) ORGANIZES (Reconciliation_with_Rome)
reconciliation_with_rome,TRANSFORMS,church_of_england,- (Reconciliation_with_Rome) TRANSFORMS (Church_of_England)
heresy_persecutions,CENSORS,protestant_doctrine_in_england,- (Heresy_Persecutions) CENSORS (Protestant_Doctrine_in_England)
heresy_persecutions,OCCURS_IN,london,- (Heresy_Persecutions) OCCURS_IN (London)
wyatts_rebellion_1554,OCCURS_IN,london,- (Wyatts_Rebellion_1554) OCCURS_IN (London)
oxford_martyrs_1555_1556,OCCURS_IN,oxford,- (Oxford_Martyrs_1555_1556) OCCURS_IN (Oxford)
pole_reconciliation_decrees,FRAMES,reconciliation_with_rome,- (Pole_Reconciliation_Decrees) FRAMES (Reconciliation_with_Rome)
heresy_acts,ENABLES,heresy_persecutions,- (Heresy_Acts) ENABLES (Heresy_Persecutions)
mary_i,ENDORSES,catholic_restoration,- (Mary_I) ENDORSES (Catholic_Restoration)
reconciliation_with_rome,OCCURS_IN,rome,- (Reconciliation_with_Rome) OCCURS_IN (Rome)
english_parliament,PROMULGATES,act_of_supremacy_1559,- (English_Parliament) PROMULGATES (Act_of_Supremacy_1559)
english_parliament,PROMULGATES,act_of_uniformity_1559,- (English_Parliament) PROMULGATES (Act_of_Uniformity_1559)
church_of_england,PROMULGATES,thirty_nine_articles_1563,- (Church_of_England) PROMULGATES (Thirty-Nine_Articles_1563)
church_of_england,PROMULGATES,book_of_homilies_1571,- (Church_of_England) PROMULGATES (Book_of_Homilies_1571)
court_of_high_commission,CENSORS,recusant_catholicism,- (Court_of_High_Commission) CENSORS (Recusant_Catholicism)
star_chamber,CENSORS,martin_marprelate_controversy_1588_1589,- (Star_Chamber) CENSORS (Martin_Marprelate_Controversy_1588_1589)
act_of_uniformity_1559,ENABLES,settlement_passage,- (Act_of_Uniformity_1559) ENABLES (Settlement_Passage)
thirty_nine_articles_1563,STANDARDIZES,via_media,- (Thirty-Nine_Articles_1563) STANDARDIZES (Via_Media)
bishops_bible_1568,TRANSMITS,via_media,- (Bishops_Bible_1568) TRANSMITS (Via_Media)
geneva_bible_1560,TRANSMITS,puritan_movement,- (Geneva_Bible_1560) TRANSMITS (Puritan_Movement)
rheims_new_testament_1582,TRANSMITS,recusant_catholicism,- (Rheims_New_Testament_1582) TRANSMITS (Recusant_Catholicism)
acts_and_monuments_1563,FRAMES,marian_persecutions,- (Acts_and_Monuments_1563) FRAMES (Marian_Persecutions)
of_the_laws_of_ecclesiastical_polity,INTERPRETS,via_media,- (Of_the_Laws_of_Ecclesiastical_Polity) INTERPRETS (Via_Media)
elizabeth_i,ENDORSES,via_media,- (Elizabeth_I) ENDORSES (Via_Media)
matthew_parker,ENDORSES,via_media,- (Matthew_Parker) ENDORSES (Via_Media)
richard_hooker,ENDORSES,via_media,- (Richard_Hooker) ENDORSES (Via_Media)
edmund_grindal,DISPUTES,jesuit_mission_in_england,- (Edmund_Grindal) DISPUTES (Jesuit_Mission_in_England)
john_whitgift,CENSORS,presbyterian_reform_in_england,- (John_Whitgift) CENSORS (Presbyterian_Reform_in_England)
puritan_movement,DISPUTES,via_media,- (Puritan_Movement) DISPUTES (Via_Media)
recusant_catholicism,DISPUTES,via_media,- (Recusant_Catholicism) DISPUTES (Via_Media)
settlement_passage,OCCURS_IN,london,- (Settlement_Passage) OCCURS_IN (London)
vestiarian_controversy_1566,OCCURS_IN,london,- (Vestiarian_Controversy_1566) OCCURS_IN (London)
northern_rebellion_1569,OCCURS_IN,york,- (Northern_Rebellion_1569) OCCURS_IN (York)
regnans_in_excelsis_1570,OCCURS_IN,rome,- (Regnans_in_Excelsis_1570) OCCURS_IN (Rome)
seminary_priests_mission_1580s,OCCURS_IN,rheims,- (Seminary_Priests_Mission_1580s) OCCURS_IN (Rheims)
jesuit_mission_1580s,OCCURS_IN,douai,- (Jesuit_Mission_1580s) OCCURS_IN (Douai)
execution_of_mary_queen_of_scots_1587,OCCURS_IN,london,- (Execution_of_Mary_Queen_of_Scots_1587) OCCURS_IN (London)
spanish_armada_1588,OCCURS_IN,london,- (Spanish_Armada_1588) OCCURS_IN (London)
martin_marprelate_controversy_1588_1589,OCCURS_IN,london,- (Martin_Marprelate_Controversy_1588_1589) OCCURS_IN (London)
society_of_jesus,ORGANIZES,jesuit_mission_1580s,- (Society_of_Jesus) ORGANIZES (Jesuit_Mission_1580s)
english_seminaries_douai_rheims,ORGANIZES,seminary_priests_mission_1580s,- (English_Seminaries_Douai_Rheims) ORGANIZES (Seminary_Priests_Mission_1580s)
privy_council,DECLARES,recusancy_fines_regime,- (Privy_Council) DECLARES (Recusancy_Fines_Regime)
court_of_high_commission,ORGANIZES,recusancy_fines_regime,- (Court_of_High_Commission) ORGANIZES (Recusancy_Fines_Regime)
